No.	NAME	MDEC-11	MDEC-12	MDEC-13	MDEC-14	MDEC-22	MDEC-23	MDEC-24	MDEC-33	MDEC-44	MDEO-11	MDEO-12	MDEO-22	MDEN-11	MDEN-12	MDEN-13	MDEN-22	MDEN-23	MDEN-33
180	50490955	0.2483	5.7838	3.0048	0	21.5539	28.7979	0	6.0892	0	0.3128	0	0	0	0	0	0.1667	1.3629	0.4006
181	50490957	0.3344	4.8925	3.4816	0	17.7055	25.4821	0	6.1763	0	0.3128	0	0	0	0	0	0.6552	1.6995	0.4006
182	50490958	0.2565	5.7745	3.1705	0	20.3949	27.2663	0	6.1763	0	0.3128	0	0	0	0	0	0.6552	1.6995	0.4006
183	50490959	0.25	3.8496	1.8873	0	27.8953	35.1035	0	7.6774	0	0.3128	0	0	0	0	0	0.1667	1.3629	0.4006
184	50490960	0.2565	5.8801	3.1365	0	21.3984	28.7389	0	6.3129	0	0.3128	0	0	0	0	0	0.1667	1.3629	0.4006
185	50369837	0	0	0	0	28.3396	24.6247	0	4.8987	0	0	0	0	0	0	0	1.651	0.3969	0
186	50490961	0.25	3.6586	1.8112	0.1	20.3949	27.2663	2.1311	6.1763	0	0.3128	0	0	0	0	0	0.6552	1.6995	0.4006
187	50490956	0.25	3.777	1.7584	0	24.075	27.1938	0	5.2132	0	0.3128	0	0	0	0	0	0.1667	1.3629	0.4006
188	50490943	0.753	6.6459	5.08	0	18.8482	27.734	0	7.1366	0	0.3128	0	0	0	0	0	0.6552	1.6995	0.4006
189	50490962	0.25	3.6696	1.8009	0.0952	20.4997	27.4252	2.0299	5.9101	0	0.3128	0	0	0	0	0	0.6552	1.6995	0.4006
190	50488643	0.3338	2.7111	5.6237	0	2.601	16.9702	0	14.0864	0	1.1906	2.4508	1.1029	0	0	0	0	0	0
191	50488644	0.1667	2.6691	3.5434	0	12.6582	24.6799	0	11.8436	0	0.1111	1.3998	1.1029	0	0	0	0	0	0
192	50488645	0.6676	3.556	7.5363	0	2.601	16.9702	0	14.0864	0	0.125	1.8177	1.7286	0	0	0	0	0	0
