No.	NAME	MW	AMW	Sp	Mv	Mp	Mi	GD	nTA	nBM	RBN	RBF	nDB	nTB	nN	nO	nS	nCL	nBR	nI	nHM	nHet	nX	C%	N%	O%	X%	nCsp3	nCsp2	nCsp	Fsp3	max_conj_path	nStructures	totalcharge
211	50051350	240.27	8.009	20.9319	0.6768	0.6977	1.104	0.1307	2	13	1	0.0313	1	0	0	3	0	0	0	0	0	3	0	50	0	10	0	2	13	0	0.1333	8	1	0
212	50051340	240.27	8.009	20.9319	0.6768	0.6977	1.104	0.1307	2	13	1	0.0313	1	0	0	3	0	0	0	0	0	3	0	50	0	10	0	2	13	0	0.1333	8	1	0
213	50488663	389.43	8.1131	33.1308	0.6737	0.6902	1.11	0.0788	3	20	5	0.098	2	0	1	5	0	0	0	0	0	6	0	47.9167	2.0833	10.4167	0	3	20	0	0.1304	8	1	0
214	50488664	419.46	8.0665	35.3467	0.665	0.6797	1.1136	0.0731	4	20	6	0.1091	2	0	1	6	0	0	0	0	0	7	0	46.1538	1.9231	11.5385	0	4	20	0	0.1667	8	1	0
215	50488666	359.4	8.1682	30.9149	0.684	0.7026	1.1059	0.0855	2	20	4	0.0851	2	0	1	4	0	0	0	0	0	5	0	50	2.2727	9.0909	0	2	20	0	0.0909	8	1	0
216	50488667	494.49	8.5257	38.7159	0.668	0.6675	1.1213	0.0619	7	22	8	0.1311	4	0	2	9	0	0	0	0	0	11	0	43.1034	3.4483	15.5172	0	5	20	0	0.2	8	1	0
217	50488668	330.36	7.8657	27.5796	0.6436	0.6567	1.1189	0.0942	5	13	4	0.0909	1	0	0	6	0	0	0	0	0	6	0	42.8571	0	14.2857	0	5	13	0	0.2778	8	1	0
218	8960	379.54	6.6586	37.0288	0.606	0.6496	1.1217	0.082	3	13	6	0.1	1	0	1	3	0	0	0	0	0	4	0	42.1053	1.7544	5.2632	0	11	13	0	0.4583	8	1	0
219	8963	492.77	6.3996	50.728	0.6048	0.6588	1.1229	0.0631	0	22	10	0.122	0	0	4	0	0	0	0	0	0	4	0	42.8571	5.1948	0	0	15	18	0	0.4545	10	1	0
220	50151982	441.58	7.3597	40.3129	0.6389	0.6719	1.1246	0.0701	3	22	7	0.1094	1	1	5	2	0	0	0	0	0	7	0	43.3333	8.3333	3.3333	0	8	17	1	0.3077	11	1	0
221	8961	198.29	6.8376	19.5798	0.6277	0.6752	1.1203	0.1619	1	11	0	0	0	0	2	0	0	0	0	0	0	2	0	44.8276	6.8966	0	0	4	9	0	0.3077	10	1	0
222	50513220	576.75	7.3006	53.0232	0.6376	0.6712	1.1199	0.0554	2	24	6	0.0698	2	0	4	4	0	0	0	0	0	8	0	44.3038	5.0633	5.0633	0	13	22	0	0.3714	9	1	0
223	50513220	576.75	7.3006	53.0232	0.6376	0.6712	1.1199	0.0554	2	24	6	0.0698	2	0	4	4	0	0	0	0	0	8	0	44.3038	5.0633	5.0633	0	13	22	0	0.3714	9	1	0
224	14777	389.44	8.1133	32.9263	0.6695	0.686	1.1178	0.0837	3	18	1	0.0189	2	0	3	4	0	0	0	0	0	7	0	45.8333	6.25	8.3333	0	6	16	0	0.2727	9	1	0
225	10469	520.83	6.2751	54.2508	0.5979	0.6536	1.1241	0.0594	0	22	12	0.1364	0	0	4	0	0	0	0	0	0	4	0	42.1687	4.8193	0	0	17	18	0	0.4857	10	1	0
226	8961	198.29	6.8376	19.5798	0.6277	0.6752	1.1203	0.1619	1	11	0	0	0	0	2	0	0	0	0	0	0	2	0	44.8276	6.8966	0	0	4	9	0	0.3077	10	1	0
227	8961	198.29	6.8376	19.5798	0.6277	0.6752	1.1203	0.1619	1	11	0	0	0	0	2	0	0	0	0	0	0	2	0	44.8276	6.8966	0	0	4	9	0	0.3077	10	1	0
228	8979	456.69	6.5241	45.6597	0.6033	0.6523	1.1264	0.0677	1	18	8	0.1081	1	0	4	1	0	0	0	0	0	5	0	41.4286	5.7143	1.4286	0	13	16	0	0.4483	10	1	0
229	8964	506.8	6.335	52.4894	0.6012	0.6561	1.1235	0.0612	0	22	11	0.1294	0	0	4	0	0	0	0	0	0	4	0	42.5	5	0	0	16	18	0	0.4706	10	1	0
230	50510842	449.65	6.9177	43.9267	0.6301	0.6758	1.1214	0.0695	1	22	6	0.0857	0	1	5	0	0	0	0	0	0	5	0	44.6154	7.6923	0	0	11	17	1	0.3793	10	1	0
231	50508996	463.68	6.8188	45.6881	0.6247	0.6719	1.1221	0.0672	1	22	6	0.0822	0	1	5	0	0	0	0	0	0	5	0	44.1176	7.3529	0	0	12	17	1	0.4	10	1	0
232	50508996	463.68	6.8188	45.6881	0.6247	0.6719	1.1221	0.0672	1	22	6	0.0822	0	1	5	0	0	0	0	0	0	5	0	44.1176	7.3529	0	0	12	17	1	0.4	10	1	0
233	50521009	606.84	6.7427	56.7392	0.5937	0.6304	1.133	0.0486	8	20	18	0.1957	2	0	4	6	0	0	0	0	0	10	0	37.7778	4.4444	6.6667	0	14	20	0	0.4118	10	1	0
