No.	NAME	X1A	X2A	X3A	X5A	X2v	X4v	X0Av	X1Av	X3Av	X5Av	X3sol	RDCHI
5411	50200775	0.4493	0.3008	0.19	0.0787	8.2061	4.1393	0.6377	0.3513	0.121	0.0384	9.6643	4.0494
5412	50200776	0.4422	0.287	0.1851	0.0776	8.8107	4.6199	0.6128	0.3289	0.1072	0.0344	11.8398	4.3874
5413	8960	0.4411	0.2779	0.1814	0.0745	8.0705	4.712	0.6006	0.33	0.1084	0.0368	10.5196	4.0663
5414	50104603	0.4308	0.2732	0.1658	0.066	5.1255	3.3314	0.6051	0.3286	0.1029	0.0326	6.4654	2.8356
5415	50199148	0.4524	0.3037	0.1881	0.0821	7.7769	3.4549	0.5926	0.3321	0.0999	0.0315	9.9595	4.2139
5416	50199149	0.4552	0.3091	0.1937	0.0913	6.2027	2.9098	0.6371	0.3737	0.1214	0.0525	6.9268	3.3471
5417	50199152	0.4605	0.3192	0.2037	0.0925	6.3189	2.5787	0.6546	0.3726	0.1226	0.0438	7.1596	3.5562
5418	50199153	0.4627	0.303	0.1839	0.0841	7.477	3.527	0.6347	0.3636	0.1077	0.0359	9.0161	3.8673
5419	50199157	0.4581	0.3151	0.1923	0.0884	6.667	2.7983	0.6166	0.3454	0.1065	0.0364	7.8646	3.7033
5420	50199158	0.4441	0.2908	0.1742	0.0735	7.4823	3.7084	0.586	0.3267	0.0931	0.0301	9.9408	3.8593
5421	50199159	0.4535	0.3054	0.1924	0.083	9.4835	4.3547	0.6402	0.3585	0.1149	0.0372	11.6641	4.4602
5422	50199160	0.4569	0.3088	0.1894	0.0839	7.0551	2.9968	0.6289	0.3484	0.1085	0.0353	8.5097	3.7259
5423	50199161	0.4516	0.2998	0.1827	0.0788	8.1843	3.7828	0.6036	0.335	0.0994	0.031	10.4208	4.2161
5424	50199162	0.4516	0.3006	0.1805	0.0795	8.1711	3.8174	0.6036	0.335	0.0986	0.0303	10.3006	4.171
5425	50199163	0.448	0.2943	0.1775	0.0746	9.3003	4.4591	0.5856	0.3258	0.0939	0.0273	12.2713	4.5698
5426	50199144	0.4637	0.3199	0.2036	0.0949	5.7627	2.4418	0.6345	0.3668	0.121	0.0448	6.4602	3.4929
5427	50199150	0.4646	0.3112	0.198	0.0923	6.2017	2.6944	0.6223	0.358	0.1142	0.0421	7.2889	3.6078
5428	50199164	0.4631	0.3212	0.1955	0.0909	7.5377	3.5414	0.6355	0.3785	0.1322	0.0504	7.7887	3.8442
5429	50199145	0.4664	0.3262	0.2034	0.0957	7.2992	3.0092	0.6006	0.3419	0.1131	0.0405	8.4897	4.2164
5430	50199155	0.4446	0.2904	0.1794	0.0775	7.0711	3.4797	0.6099	0.3449	0.1007	0.035	8.9639	3.7101
5431	50199167	0.4436	0.2923	0.1791	0.073	7.5125	3.6328	0.586	0.3265	0.0947	0.0313	10.0275	3.9013
5432	50199147	0.4367	0.2839	0.1716	0.0671	8.6796	4.488	0.5799	0.3199	0.0906	0.0271	11.8577	4.1603
5433	8960	0.4411	0.2779	0.1814	0.0745	8.0705	4.712	0.6006	0.33	0.1084	0.0368	10.5196	4.0663
5434	50199169	0.4563	0.3122	0.1902	0.0826	6.9706	3.098	0.6202	0.344	0.1086	0.0382	8.333	3.6968
5435	50199146	0.4531	0.3057	0.1917	0.0871	6.7523	3.1208	0.6482	0.3758	0.1201	0.0503	7.435	3.3944
5436	50199170	0.4368	0.2811	0.1719	0.0696	8.2348	4.321	0.5997	0.3348	0.0951	0.0296	10.8469	4.0032
