No.	NAME	nCIR	TRS	Rperim	Rbrid	MCD	RFD	RCI	NRS	NNRS	nSpiro	nBridgeHead	nR03	nR04	nR05	nR06	nR07	nR08	nR09	nR10	nR11	nR12	nBnz	AP	D/Dtr03	D/Dtr04	D/Dtr05	D/Dtr06	D/Dtr07	D/Dtr08	D/Dtr09	D/Dtr10	D/Dtr11	D/Dtr12
3545	50333155	7	24	20	2	0.8	0.2	1.2	2	0.5	0	0	0	0	0	4	0	0	0	2	0	0	1	0.64	0	0	0	198.2723	0	0	0	157.3723	0	0
3546	50333156	6	18	14	2	0.7778	0.2857	1.2857	1	0.3333	0	0	0	0	0	3	0	0	0	2	0	0	0	0.5556	0	0	0	95.1974	0	0	0	105.1253	0	0
3547	50333158	7	24	20	2	0.7692	0.2	1.2	2	0.5	0	0	0	0	0	4	0	0	0	2	0	0	1	0.6154	0	0	0	238.0535	0	0	0	177.5454	0	0
3548	50333159	7	24	20	2	0.8	0.2	1.2	2	0.5	0	0	0	0	0	4	0	0	0	2	0	0	1	0.64	0	0	0	224.8632	0	0	0	168.1257	0	0
3549	8961	6	18	14	2	0.9333	0.2857	1.2857	1	0.3333	0	0	0	0	0	3	0	0	0	2	0	0	1	0.6667	0	0	0	70.902	0	0	0	78.5808	0	0
3550	50333148	6	18	14	2	0.7	0.2857	1.2857	1	0.3333	0	0	0	0	0	3	0	0	0	2	0	0	0	0.5	0	0	0	112.4103	0	0	0	123.9646	0	0
3551	50333149	7	23	19	2	0.8636	0.2105	1.2105	2	0.5	0	0	0	0	1	3	0	0	0	2	0	0	0	0.4545	0	0	43.9404	125.2018	0	0	0	138.1356	0	0
3552	50333150	7	24	20	2	0.8696	0.2	1.2	2	0.5	0	0	0	0	0	4	0	0	0	2	0	0	0	0.4348	0	0	0	189.1437	0	0	0	146.6071	0	0
3553	50333151	6	18	14	2	0.6667	0.2857	1.2857	1	0.3333	0	0	0	0	0	3	0	0	0	2	0	0	0	0.4762	0	0	0	122.8962	0	0	0	135.4992	0	0
3554	50333152	7	24	20	2	0.7692	0.2	1.2	2	0.5	0	0	0	0	0	4	0	0	0	2	0	0	1	0.6154	0	0	0	208.9934	0	0	0	166.7919	0	0
3555	50333153	6	18	14	2	0.7368	0.2857	1.2857	1	0.3333	0	0	0	0	0	3	0	0	0	2	0	0	0	0.5263	0	0	0	103.8038	0	0	0	114.5449	0	0
3556	50333154	6	18	14	2	0.7	0.2857	1.2857	1	0.3333	0	0	0	0	0	3	0	0	0	2	0	0	0	0.5	0	0	0	113.0654	0	0	0	124.7017	0	0
3557	50333155	7	24	20	2	0.8	0.2	1.2	2	0.5	0	0	0	0	0	4	0	0	0	2	0	0	1	0.64	0	0	0	198.2723	0	0	0	157.3723	0	0
3558	50333158	7	24	20	2	0.7692	0.2	1.2	2	0.5	0	0	0	0	0	4	0	0	0	2	0	0	1	0.6154	0	0	0	238.0535	0	0	0	177.5454	0	0
