No.	NAME	Eta_alpha_A	Eta_epsi_A	Eta_betaS_A	Eta_beta_A	Eta_C_A	Eta_F	Eta_F_A	Eta_FL_A	Eta_B	Eta_B_A	Eta_sh_p	Eta_sh_y	Eta_sh_x	Eta_D_AlphaA	Eta_D_AlphaB	Eta_epsi_2	Eta_epsi_4	Eta_epsi_5	Eta_D_epsiB	Eta_D_epsiD	Eta_D_psiA	Eta_D_psiB	Eta_D_beta	Eta_D_beta_A
2124	50088623	0.4658	0.6025	0.6419	1.2905	0.8758	41.8448	1.1309	0.2719	0.8146	0.022	0.1547	0.3424	0	0	0.0342	0.8559	0.5337	0.8412	0.0687	0.0146	0.1698	0	0.25	0.0068
2125	50088624	0.4667	0.5953	0.6382	1.2697	0.9183	42.2603	1.1121	0.2643	0.7766	0.0204	0.1504	0.3327	0	0	0.0333	0.8518	0.5304	0.8376	0.0649	0.0141	0.1661	0	-0.25	-0.0066
2126	50088626	0.4667	0.5953	0.6382	1.2697	0.9028	42.0875	1.1076	0.2647	0.8146	0.0214	0.1504	0.3327	0	0	0.0333	0.8518	0.5304	0.8376	0.0649	0.0141	0.1661	0	-0.25	-0.0066
2127	50088616	0.4718	0.5711	0.6282	1.2308	0.95	40.6305	1.0418	0.2514	0.7253	0.0186	0.1268	0.2935	0	0	0.0282	0.8282	0.5146	0.8282	0.0565	0	0.1443	0	-1	-0.0256
2128	50088628	0.4675	0.5887	0.6346	1.25	0.9444	42.4641	1.0888	0.2575	0.7766	0.0199	0.1463	0.3236	0	0	0.0325	0.8479	0.5273	0.8342	0.0614	0.0137	0.1626	0	-0.75	-0.0192
2129	50088629	0.4683	0.5827	0.6313	1.2313	0.9541	42.561	1.064	0.2515	0.8146	0.0204	0.1423	0.3149	0	0	0.0317	0.8442	0.5244	0.8309	0.0583	0.0133	0.1592	0	-1.25	-0.0313
2130	50088662	0.4691	0.5771	0.628	1.2134	0.9939	42.877	1.0458	0.2449	0.7766	0.0189	0.1386	0.3068	0	0	0.0309	0.8407	0.5217	0.8278	0.0554	0.0129	0.156	0	-1.75	-0.0427
2131	50088617	0.4725	0.5658	0.625	1.2125	0.9881	40.9258	1.0231	0.2447	0.6873	0.0172	0.1235	0.2857	0	0	0.0275	0.825	0.5121	0.825	0.0537	0	0.1413	0	-1.5	-0.0375
2132	10620	0.4704	0.5383	0.625	1.0694	0.8249	13.9586	0.7755	0.2236	0.5484	0.0305	0.3346	0.3307	0	0	0.0296	0.8296	0.5072	0.8296	0.0311	0	0.147	0	-3.25	-0.1806
2133	8960	0.4786	0.5439	0.625	1.1429	0.9655	22.0515	0.7876	0.2172	0.5846	0.0209	0.0995	0.3284	0	0	0.0214	0.7964	0.5014	0.7964	0.0424	0	0.1131	0	-3	-0.1071
2134	50088663	0.4694	0.5896	0.6389	1.2917	0.8598	39.4533	1.0959	0.2723	0.7253	0.0201	0.1381	0.3195	0	0	0.0306	0.8389	0.523	0.8389	0.0666	0	0.1544	0	0.5	0.0139
2135	50088664	0.4703	0.5829	0.6351	1.2703	0.9003	39.8376	1.0767	0.2645	0.6873	0.0186	0.1341	0.3103	0	0	0.0297	0.8351	0.52	0.8351	0.0629	0	0.1509	0	0	0
2136	50088665	0.4667	0.5953	0.6447	1.2763	0.8936	42.475	1.1178	0.2711	0.7766	0.0204	0.1598	0.3327	0	0	0.0333	0.8518	0.5304	0.8518	0.0649	0	0.1661	0	-0.5	-0.0132
2137	50088585	0.4675	0.5887	0.641	1.2564	0.9347	42.8754	1.0994	0.2638	0.7386	0.0189	0.1554	0.3236	0	0	0.0325	0.8479	0.5273	0.8479	0.0614	0	0.1626	0	-1	-0.0256
2138	50088586	0.47	0.5816	0.6563	1.2438	0.9288	42.1109	1.0528	0.2584	0.7556	0.0189	0.0975	0.3085	0	0	0.03	0.835	0.5229	0.835	0.0587	0	0.1511	0	-2.75	-0.0688
2139	50088587	0.4647	0.5879	0.6691	1.1838	0.924	34.0655	1.0019	0.2476	0.7253	0.0213	0.1477	0.3354	0	0	0.0353	0.8588	0.5375	0.8588	0.0504	0	0.1729	0	-5.25	-0.1544
2140	50088588	0.4703	0.5829	0.6351	1.2703	0.887	39.7351	1.0739	0.265	0.7253	0.0196	0.1341	0.3103	0	0	0.0297	0.8351	0.52	0.8351	0.0629	0	0.1509	0	0	0
2141	50088589	0.4711	0.5767	0.6316	1.25	0.9267	40.0821	1.0548	0.2575	0.6873	0.0181	0.1304	0.3017	0	0	0.0289	0.8316	0.5172	0.8316	0.0595	0	0.1475	0	-0.5	-0.0132
2142	50088590	0.4675	0.5887	0.641	1.2564	0.9197	42.7223	1.0954	0.2642	0.7766	0.0199	0.1554	0.3236	0	0	0.0325	0.8479	0.5273	0.8479	0.0614	0	0.1626	0	-1	-0.0256
2143	50088591	0.4683	0.5827	0.6375	1.2375	0.96	43.0853	1.0771	0.2572	0.7386	0.0185	0.1512	0.3149	0	0	0.0317	0.8442	0.5244	0.8442	0.0583	0	0.1592	0	-1.5	-0.0375
2144	50088592	0.4707	0.5759	0.6524	1.2256	0.9533	42.3474	1.0329	0.2521	0.7556	0.0184	0.095	0.3005	0	0	0.0293	0.8317	0.5202	0.8317	0.0557	0	0.148	0	-3.25	-0.0793
2145	50088593	0.4657	0.5812	0.6643	1.1643	0.951	34.3417	0.9812	0.2405	0.7253	0.0207	0.1431	0.3252	0	0	0.0343	0.8543	0.5337	0.8543	0.0474	0	0.1688	0	-5.75	-0.1643
2146	50088594	0.4718	0.5711	0.6282	1.2308	0.9391	40.2655	1.0324	0.2514	0.7253	0.0186	0.1268	0.2935	0	0	0.0282	0.8282	0.5146	0.8282	0.0565	0	0.1443	0	-1	-0.0256
